Time 50,Time 100,Time 150,Time 200,Time 250,Time 300,Time 350,Time 400,Time 450,Time 500,Time 550,Time 600,Time 650,Time 700,Time 750,Time 800,Time 850,Time 900,Time 950,Time 1000,Time 1050,Time 1100,Time 1150,Time 1200,Time 1250,Time 1300,Time 1350,Time 1400,Time 1450,Time 1500,Time 1550,Time 1600,Time 1650,Time 1700,Time 1750,Time 1800,Time 1850,Time 1900,Time 1950,Time 2000,Time 2050,Time 2100,Time 2150,Time 2200,Time 2250,Time 2300,Time 2350,Time 2400,Time 2450,Time 2500,Time 2550,Time 2600,Time 2650,Time 2700,Time 2750,Time 2800,Time 2850,Time 2900,Time 2950,Time 3000,Time 3050,Time 3100,Time 3150,Time 3200,Time 3250,Time 3300,Time 3350,Time 3400,Mean,Variance
close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,,
volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,,
5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,5_day_mean_growth,,
5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,5_day_max_growth,,
5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,5_day_min_growth,,
5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,5_day_price_variance,,
5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,5-Day Price 4th Derivative,,
5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,5-Day Price x Volume,,
3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,3-Day Avg Close,,
10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,10-Day Avg Close,,
15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,15-Day Avg Close,,
30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,30-Day Avg Close,,
60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,60-Day Avg Close,,
